Div ARTEFACT DNA DNA/Academ-1 DNA/CMC-Chapaev DNA/CMC-Chapaev-3 DNA/CMC-EnSpm DNA/CMC-Transib DNA/Crypton-A DNA/Crypton-I DNA/Crypton-V DNA/Ginger-2 DNA/IS3EU DNA/Kolobok-E DNA/Kolobok-Hydra DNA/Kolobok-T2 DNA/MULE-MuDR DNA/MULE-NOF DNA/Maverick DNA/Merlin DNA/P DNA/PIF-Harbinger DNA/PIF-ISL2EU DNA/PIF-Spy DNA/PiggyBac DNA/Sola-1 DNA/Sola-2 DNA/TcMar DNA/TcMar-Fot1 DNA/TcMar-Mariner DNA/TcMar-Pogo DNA/TcMar-Stowaway DNA/TcMar-Tc1 DNA/TcMar-Tc1? DNA/TcMar-Tc4 DNA/TcMar-Tigger DNA/TcMar-m44 DNA/Zisupton DNA/hAT DNA/hAT-Ac DNA/hAT-Blackjack DNA/hAT-Charlie DNA/hAT-Tag1 DNA/hAT-Tip100 DNA/hAT-hAT19 DNA/hAT-hAT5 DNA/hAT-hATm DNA/hAT-hATx LINE LINE/CR1 LINE/Dong-R4 LINE/I LINE/I-Jockey LINE/L1 LINE/L2 LINE/Penelope LINE/R1 LINE/R1-LOA LINE/R2 LINE/RTE-BovB LINE/RTE-RTE LINE/RTE-X LINE/Tad1 LTR/Copia LTR/DIRS LTR/ERV1 LTR/ERVK LTR/Gypsy LTR/Pao LTR/Unknown RC/Helitron Retroposon/L2-derived SINE/5S SINE/5S-Deu SINE/tRNA-Deu-CR1 Simple_repeat Unknown rRNA snRNA tRNA 
0 0 15204 6153 38 10873 59858 11789 828 3015 15954 28724 113028 594 51155 0 24736 0 1110314 0 328257 39748 4716 335 58598 31107 655 0 35572 11057 445 35 862337 0 126 9526 6902 0 69 16754 345 5876 0 315957 4323 0 34 0 12203 70628 381913 297 65217 8176 130323 12550 3033 62306 0 7126184 2325 18284 0 866124 371 0 0 9399088 605941 879808 175722 139 21683 0 0 0 1575426 60712 31 0 
1 0 6388 85044 0 21871 329857 69252 10810 15904 81688 149107 67278 41075 14203 0 260567 55 1984782 0 667624 160904 51417 1806 465453 134158 2403 0 140149 15689 116 1273 4032866 0 0 136625 74176 1538 148 88362 545 158472 0 3425336 5604 0 2204 0 41810 143467 561341 178 100263 40673 240146 28725 36722 896132 1556 5618554 13392 121307 0 314620 34038 0 0 6968433 735462 799410 1097579 194 406 0 0 0 3980172 2623 0 0 
2 0 11160 239169 206 80957 744453 119011 44935 131537 20789 211986 15959 89455 20275 48 31341 81 744493 0 344421 127229 111402 11342 530001 327830 18411 0 408270 64250 5931 4206 4687146 0 266 82861 378523 10764 2968 149421 1227 374168 0 2466144 18239 0 26918 147 20216 113957 244104 4190 13552 24942 67024 111308 122462 999225 6881 5612283 51475 84698 595 123983 88301 0 0 3307823 535216 507114 1100713 1456 694 0 37 0 5480557 190 0 426 
3 0 28496 339235 2058 263400 1120374 230024 114214 187117 20669 155086 9114 25388 53067 0 70763 203 655347 30 157889 207277 121954 40161 467365 630101 35911 0 349078 238893 23011 29264 7641058 0 413 82830 428064 21419 8477 147919 13496 185372 0 1757053 51970 0 28566 4080 20352 183783 186007 10881 54249 15613 135798 253641 188980 821712 6575 6000255 74823 24654 1226 122259 44617 0 0 2015502 536246 388734 407725 514 310 0 59 0 6544133 2247 0 73 
4 0 119497 227298 3547 391828 868484 156273 23639 132858 13129 97516 5381 6427 87801 140 68155 551 464306 0 42701 253519 123400 79120 553075 632829 48939 0 463855 886160 33037 63085 4080132 0 1211 84310 436053 13024 25190 156279 13917 172179 0 2111525 93577 0 31053 13045 51552 238765 302036 68362 92941 6118 87633 402524 409844 966570 2524 2596676 45179 19815 4043 98143 23702 0 0 1360469 215324 400910 170847 1178 975 0 56 0 7416567 808 0 146 
5 0 180114 141357 9088 562333 518801 113995 9556 119781 2455 127664 4090 4069 163569 83 33356 820 368178 177 48615 171008 145730 70982 574408 575893 34548 0 401914 2111985 48918 85427 3636043 0 4063 49380 282001 19737 30776 126233 20884 158824 39 1339237 180638 0 45003 8200 29397 160536 357029 64784 135125 4392 121520 445813 427138 1444703 12682 648744 16701 11533 6055 61977 22168 278 0 892538 173481 475365 112108 776 0 0 273 0 8352441 2876 803 810 
6 0 172955 136058 12263 914729 363614 52338 1118 73529 1670 89234 3713 1918 263298 0 8980 1710 246171 969 39083 149255 181323 27341 429504 459903 37085 0 249613 2598094 48282 38467 4702605 0 10266 21068 99687 22248 26318 82192 37609 158100 0 614369 296645 0 26300 5881 17180 141234 311034 49016 207100 1414 121279 456127 362276 1407811 237 259249 14639 11015 5019 51559 14223 199 34 626062 82027 380695 112271 634 508 0 34 0 8844345 1833 2590 196 
7 0 113890 115829 27788 936218 289179 39709 1002 47435 7185 35786 3729 5129 355092 74 3510 1956 173979 564 44631 102898 166548 14225 232983 345295 40791 0 144080 2419742 47364 8024 5490397 0 11568 6281 51310 10226 22946 45453 26796 142585 0 367091 342663 0 9877 5041 11696 148251 183944 57875 233837 498 165352 480752 222589 968926 158 294554 17809 11872 2292 39861 9338 0 30 587495 70066 294532 91456 762 963 0 439 0 9108786 1101 2138 393 
8 0 92377 79958 27256 758366 232450 72640 395 24398 453 17291 8143 9026 366433 342 2526 2380 200660 297 18998 60118 122238 4910 135565 251326 25556 0 92893 1817692 15570 1406 5987074 0 15514 6226 21286 8091 8735 19673 17673 133263 0 252821 362192 0 7891 4805 2043 151312 124651 60031 274772 140 216579 462993 215668 694755 2475 156636 16622 23397 2712 35140 5048 63 107 756644 62503 247838 95959 1145 432 0 377 0 8862484 1826 1815 154 
9 0 65477 60362 24238 527437 207215 83143 448 34117 2085 26200 10623 10514 304234 147 3714 2120 178237 1129 14405 45339 58663 2434 76104 190952 30993 0 59317 1295994 9130 477 6034240 0 17090 2699 13272 8568 5343 14029 9579 89835 0 139737 361122 0 3261 1120 2027 262906 76565 58749 357258 3347 306003 316480 161764 368947 624 120164 19937 38718 1696 36519 1852 155 608 1725194 32179 156914 78072 670 302 0 1120 0 7595851 1557 3014 287 
10 0 49051 48282 15765 347439 213867 76684 0 31678 449 16254 9303 6366 250217 361 3219 2788 121364 223 7886 25371 38512 1247 43357 117784 22113 0 40283 929968 5628 0 5152450 0 17257 1313 10794 9907 2257 6590 7942 62099 399 85530 310550 0 1515 2793 714 344294 95513 54523 349324 1836 302691 228280 101853 182524 624 118963 11540 74238 2899 35566 606 419 126 568893 34564 119512 67255 139 65 0 1195 0 6191458 2711 42 457 
11 0 32163 39114 7246 264555 156157 74487 0 26100 754 5587 8244 6182 183177 1257 6063 1110 94562 835 7580 22765 20642 452 40573 86671 19991 0 31821 727048 3571 112 4209682 0 14248 1167 3212 8960 795 2575 1335 36527 60 56019 275629 66 5691 304 626 395123 63040 66490 402130 3341 335256 164628 57681 116525 1041 100756 8771 91894 940 28383 1437 1231 337 422313 26403 84962 50453 326 948 0 3065 0 5094453 2774 0 444 
12 0 20031 36111 5982 204250 144745 74390 0 42655 665 2330 5624 3592 133541 706 692 363 90542 850 2845 23668 5750 0 30338 51178 9506 0 25371 543831 1455 0 3291315 0 16340 1405 5967 6628 1785 2088 1981 28923 231 36723 254572 0 4282 0 1995 463020 34294 87729 365844 2373 394981 126902 44499 78172 0 96699 8479 136496 1550 19160 561 811 391 327651 34070 63689 37402 0 497 0 3774 0 4440815 3506 549 1208 
13 0 13815 26126 3021 145029 88022 65475 0 67237 48 2594 5360 4488 107780 2487 574 716 60053 322 4513 19145 4226 602 19613 36786 6558 0 21268 405741 2654 0 2742852 0 18001 1242 3745 8207 7363 2626 1443 15331 398 54959 248759 123 1498 0 2618 502520 34129 95416 351968 1162 421967 101861 57021 67095 0 96295 4244 128294 474 16612 140 4761 843 283898 35597 54238 29808 0 260 56 5715 0 4064440 13534 0 1816 
14 0 17585 22472 1366 108324 69360 49772 0 82548 42 481 7269 3325 73826 1344 836 402 58410 1040 1531 13957 2051 263 18185 22499 4520 0 13896 299326 1132 0 2237234 0 17146 537 2625 7690 7245 1534 2009 10371 194 63772 229867 698 3719 0 1484 487133 27625 139825 347299 2383 452999 96538 74483 69287 0 83813 1634 135891 358 7635 137 2073 754 226846 28961 54715 22769 0 242 0 12740 0 3914267 6610 0 2467 
15 0 14668 22564 361 83850 45043 52006 135 107850 8 1659 3263 2358 52789 329 539 111 40140 1211 3133 8699 1770 300 13329 16149 1657 0 10040 213823 3380 0 1908582 0 20699 903 5518 6718 3695 2277 1100 38889 421 70698 211834 353 706 0 6409 457188 26005 150247 276976 1836 375157 90998 72232 65228 166 65963 3493 129109 327 8350 517 3411 1140 216645 30975 48313 30420 43 942 0 14012 0 3870660 4421 88 4252 
16 0 7302 27506 757 80053 28080 52147 0 121710 47 2018 1737 1277 43078 1081 101 393 36472 1633 3484 11660 534 132 6375 9060 1105 0 6380 175258 3732 0 1768254 0 24623 1070 7518 9532 1185 2425 1960 4581 790 82466 226684 554 1456 0 4231 426970 27235 163677 232796 4232 313840 93980 66004 69873 0 70545 237 93108 0 9719 76 4747 2282 195996 14714 43852 16031 0 289 0 19431 0 4081385 4624 186 4754 
17 0 11232 17165 395 70351 17312 43142 62 127303 65 1930 2664 2959 33704 497 710 163 39555 1592 1008 6753 1352 0 3351 13557 1837 0 5235 133285 3755 0 1719268 0 28418 746 5626 5648 615 13043 2057 3678 480 86181 223944 1023 726 0 6386 402432 31189 193403 194102 3925 260661 105774 53816 81485 383 61129 1097 76519 67 5691 47 3287 1938 131008 12784 41913 19966 0 402 0 19964 0 4197477 6288 438 7885 
18 0 15950 17709 0 66913 13740 42314 0 143672 100 1893 3112 1673 32989 258 181 313 36892 1528 2058 9856 1385 0 2867 11191 1146 0 1815 105291 3577 0 1727225 0 33303 1311 13564 2078 539 24083 2454 10943 1350 92855 200893 1053 800 0 9168 321822 40981 148419 182480 4437 197070 114663 50994 89700 1295 44352 544 55546 0 5855 0 3800 4180 146864 11270 29966 14505 0 633 0 28555 0 4391158 6824 175 10408 
19 0 14383 16287 203 71373 13425 34605 0 115667 256 2290 1297 2244 30036 802 451 346 25625 2151 832 5919 2110 0 4612 10408 1436 0 2199 118483 2628 0 1694494 0 34779 910 11505 1963 96 23197 2696 5247 2110 106994 203883 2125 800 0 8885 311827 47961 128904 157583 7282 171097 122823 37391 95316 2288 44590 971 49996 0 25760 0 2051 4956 200802 9829 31994 17652 0 333 0 33151 0 4514489 3057 193 12262 
20 0 15427 24863 0 74493 8756 32368 64 98087 574 2193 1814 1779 24459 403 128 84 26347 2266 1542 6331 3354 0 5743 8050 145 0 2345 121380 4132 0 1751294 0 45312 1692 15242 4347 190 15488 2018 5180 2067 111510 187931 1033 79 0 7530 264779 45408 103832 130042 5261 137954 145521 43197 97776 138 37317 1370 36610 0 8937 87 1466 4758 149475 12477 19988 16396 0 451 0 36441 0 4413185 4058 81 17558 
21 0 17847 39503 105 57329 10331 24601 182 91094 410 5372 1113 1664 19207 172 136 370 31403 2056 2828 7212 577 0 8430 9436 143 0 3578 171853 6984 0 1694236 0 39795 2215 17921 2856 114 11218 3176 5046 1685 135027 166867 985 812 0 7416 234651 49151 97161 118860 4630 124751 148087 38948 112393 0 34273 1239 22188 0 9666 45 819 7281 192149 5297 24499 15405 0 81 0 37941 0 4447556 2869 348 17252 
22 0 14185 56701 0 59557 7281 21713 0 70394 57 12192 835 2637 20063 263 313 0 16325 2340 788 9178 837 372 4002 8601 210 173 3245 207374 5393 0 1589509 56 31213 1477 13376 82 425 6997 3021 4146 1557 96327 146903 1959 1460 0 6811 198186 57848 81781 109199 2763 114532 157085 56949 116801 58 33016 1106 18957 30 8178 24 820 5541 184036 5754 27119 14187 0 380 0 38901 0 4378454 3008 0 20554 
23 0 11724 53491 73 53354 8730 20439 104 64619 103 12643 1469 2042 19565 193 234 0 22096 3122 1029 5826 582 0 3277 9817 106 95 2803 233285 6910 0 1502032 0 37046 1235 19931 603 68 5022 4691 5996 880 86850 123126 2512 1853 95 6175 172593 64104 63368 117479 1686 108717 153635 56882 134168 11 33123 1895 12113 0 9457 94 447 5777 192655 4746 16841 11376 196 400 0 34805 0 4708148 1517 0 23391 
24 0 15576 55038 0 48324 9394 16653 78 48610 464 20656 393 2521 14421 0 441 0 74949 1361 731 8899 359 0 2195 5583 187 0 3927 280256 8732 0 1367907 0 24251 2112 24840 1351 386 1151 2552 7584 483 87268 130483 1599 1882 95 4172 147980 60680 52868 123222 2065 101751 150241 44566 153016 0 31181 1158 9459 69 10320 0 739 4311 181756 5821 14537 12140 0 188 0 28690 0 4569987 2095 0 19273 
25 0 11469 34985 0 50316 6262 13906 193 33967 372 32277 483 1760 12459 0 129 0 28838 3491 1104 8073 883 542 3006 8540 0 89 3415 280201 10473 0 1235737 60 30988 2600 19096 727 1344 685 7552 7235 2594 72590 127273 1111 1412 0 4236 128196 49091 45570 124041 850 74213 141092 27283 132788 0 66557 2716 6604 0 8539 76 335 6341 220247 3580 16536 8278 0 0 0 29569 0 3871561 2361 306 20249 
26 0 11993 14212 0 57563 4143 14528 88 34144 465 25842 598 662 12560 0 717 0 25290 3242 963 12805 680 366 4527 9152 174 0 1609 276884 11882 0 1091324 0 24505 1451 21283 346 2076 1751 1859 8687 420 73721 134651 1637 2028 95 4753 114355 67728 42855 146755 1125 84149 134426 18294 147810 105 66153 2102 5457 0 7128 0 284 4086 236338 2986 14046 6133 0 0 0 28567 0 3097747 1437 409 19778 
27 0 9926 14858 0 42823 15992 23311 0 23808 298 13292 247 301 11024 0 430 0 25699 2225 1086 12019 354 424 6954 10345 148 184 4460 279333 8129 0 962539 66 21454 1498 21417 714 2595 580 8249 10561 978 93011 135004 1881 3333 0 1974 92149 62122 33567 174138 637 64583 123186 27986 128579 0 64856 1599 2769 112 10247 0 227 3418 336631 4396 11327 5679 0 0 0 25896 0 2560190 2116 0 13591 
28 0 10149 19236 0 43759 13240 17241 77 18586 679 7113 188 553 14795 0 879 362 19827 2420 1101 14241 545 79 6388 8156 0 0 6922 272379 7149 0 801062 0 15860 510 29185 596 2933 1636 6803 14248 522 80076 135600 1668 187 6 2697 90356 55195 35413 178664 678 52364 111318 27464 120201 0 120029 2549 1875 0 14639 0 0 2761 344170 3930 8582 5560 0 461 0 22603 0 2171625 907 0 10900 
29 0 11246 19698 0 42888 7417 15247 0 13669 2215 6251 152 130 11849 0 418 359 59620 1328 662 17488 979 758 10717 10613 0 189 8409 247800 6926 0 701593 0 16756 955 32084 1769 1335 1306 2467 10966 909 55434 141226 966 667 159 1916 78219 72484 41570 201550 1515 42874 115341 31456 113159 0 162329 2224 2649 0 6310 0 0 1057 339989 5395 8713 4385 0 0 0 18662 0 1858732 580 0 8573 
